Database,Table,Rows,Columns,Column Names
orchestra,show,5,5,"Show_ID, Performance_ID, If_first_show, Result, Attendance"
car_1,continents,5,2,"ContId, Continent"
car_1,countries,15,3,"CountryId, CountryName, Continent"
car_1,car_makers,22,4,"Id, Maker, FullName, Country"
car_1,model_list,36,3,"ModelId, Maker, Model"
car_1,car_names,406,3,"MakeId, Model, Make"
car_1,cars_data,406,8,"Id, MPG, Cylinders, Edispl, Horsepower, Weight, Accelerate, Year"
customers_card_transactions,Accounts,15,4,"account_id, customer_id, account_name, other_account_details"
customers_card_transactions,Customers,15,7,"customer_id, customer_first_name, customer_last_name, customer_address, customer_phone, customer_email, other_customer_details"
customers_card_transactions,Customers_Cards,15,7,"card_id, customer_id, card_type_code, card_number, date_valid_from, date_valid_to, other_card_details"
customers_card_transactions,Financial_Transactions,15,9,"transaction_id, previous_transaction_id, account_id, card_id, transaction_type, transaction_date, transaction_amount, transaction_comment, other_transaction_details"
machine_repair,repair,9,4,"repair_ID, name, Launch_Date, Notes"
machine_repair,machine,9,7,"Machine_ID, Making_Year, Class, Team, Machine_series, value_points, quality_rank"
machine_repair,technician,10,5,"technician_id, Name, Team, Starting_Year, Age"
machine_repair,repair_assignment,9,3,"technician_id, repair_ID, Machine_ID"
shop_membership,member,10,5,"Member_ID, Card_Number, Name, Hometown, Level"
shop_membership,branch,8,6,"Branch_ID, Name, Open_year, Address_road, City, membership_amount"
shop_membership,membership_register_branch,8,3,"Member_ID, Branch_ID, Register_Year"
shop_membership,purchase,8,4,"Member_ID, Branch_ID, Year, Total_pounds"
wrestler,wrestler,10,6,"Wrestler_ID, Name, Reign, Days_held, Location, Event"
wrestler,Elimination,6,6,"Elimination_ID, Wrestler_ID, Team, Eliminated_By, Elimination_Move, Time"
performance_attendance,member,11,4,"Member_ID, Name, Nationality, Role"
performance_attendance,performance,6,5,"Performance_ID, Date, Host, Location, Attendance"
performance_attendance,member_attendance,8,3,"Member_ID, Performance_ID, Num_of_Pieces"
debate,people,10,5,"People_ID, District, Name, Party, Age"
debate,debate,6,4,"Debate_ID, Date, Venue, Num_of_Audience"
debate,debate_people,5,4,"Debate_ID, Affirmative, Negative, If_Affirmative_Win"
icfp_1,Inst,8,3,"instID, name, country"
icfp_1,Authors,13,3,"authID, lname, fname"
icfp_1,Papers,7,2,"paperID, title"
icfp_1,Authorship,14,4,"authID, instID, paperID, authOrder"
e_learning,Course_Authors_and_Tutors,15,9,"author_id, author_tutor_ATB, login_name, password, personal_name, middle_name, family_name, gender_mf, address_line_1"
e_learning,Students,15,8,"student_id, date_of_registration, date_of_latest_logon, login_name, password, personal_name, middle_name, family_name"
e_learning,Subjects,3,2,"subject_id, subject_name"
e_learning,Courses,15,5,"course_id, author_id, subject_id, course_name, course_description"
e_learning,Student_Course_Enrolment,20,5,"registration_id, student_id, course_id, date_of_enrolment, date_of_completion"
e_learning,Student_Tests_Taken,15,3,"registration_id, date_test_taken, test_result"
customer_deliveries,Products,6,4,"product_id, product_name, product_price, product_description"
customer_deliveries,Addresses,15,6,"address_id, address_details, city, zip_postcode, state_province_county, country"
customer_deliveries,Customers,15,6,"customer_id, payment_method, customer_name, customer_phone, customer_email, date_became_customer"
customer_deliveries,Regular_Orders,15,2,"regular_order_id, distributer_id"
customer_deliveries,Regular_Order_Products,15,2,"regular_order_id, product_id"
customer_deliveries,Actual_Orders,15,4,"actual_order_id, order_status_code, regular_order_id, actual_order_date"
customer_deliveries,Actual_Order_Products,15,2,"actual_order_id, product_id"
customer_deliveries,Customer_Addresses,15,5,"customer_id, address_id, date_from, address_type, date_to"
customer_deliveries,Delivery_Routes,15,3,"route_id, route_name, other_route_details"
customer_deliveries,Delivery_Route_Locations,15,4,"location_code, route_id, location_address_id, location_name"
customer_deliveries,Trucks,15,3,"truck_id, truck_licence_number, truck_details"
customer_deliveries,Employees,15,4,"employee_id, employee_address_id, employee_name, employee_phone"
customer_deliveries,Order_Deliveries,15,6,"location_code, actual_order_id, delivery_status_code, driver_employee_id, truck_id, delivery_date"
academic,author,0,4,"aid, homepage, name, oid"
academic,conference,0,3,"cid, homepage, name"
academic,domain,0,2,"did, name"
academic,domain_author,0,2,"aid, did"
academic,domain_conference,0,2,"cid, did"
academic,journal,0,3,"homepage, jid, name"
academic,domain_journal,0,2,"did, jid"
academic,keyword,0,2,"keyword, kid"
academic,domain_keyword,0,2,"did, kid"
academic,publication,0,8,"abstract, cid, citation_num, jid, pid, reference_num, title, year"
academic,domain_publication,0,2,"did, pid"
academic,organization,0,4,"continent, homepage, name, oid"
academic,publication_keyword,0,2,"pid, kid"
academic,writes,0,2,"aid, pid"
academic,cite,0,2,"cited, citing"
cre_Doc_Tracking_DB,Ref_Document_Types,4,3,"Document_Type_Code, Document_Type_Name, Document_Type_Description"
cre_Doc_Tracking_DB,Ref_Calendar,15,2,"Calendar_Date, Day_Number"
cre_Doc_Tracking_DB,Ref_Locations,5,3,"Location_Code, Location_Name, Location_Description"
cre_Doc_Tracking_DB,Roles,5,3,"Role_Code, Role_Name, Role_Description"
cre_Doc_Tracking_DB,All_Documents,15,6,"Document_ID, Date_Stored, Document_Type_Code, Document_Name, Document_Description, Other_Details"
cre_Doc_Tracking_DB,Employees,15,6,"Employee_ID, Role_Code, Employee_Name, Gender_MFU, Date_of_Birth, Other_Details"
cre_Doc_Tracking_DB,Document_Locations,15,4,"Document_ID, Location_Code, Date_in_Location_From, Date_in_Locaton_To"
cre_Doc_Tracking_DB,Documents_to_be_Destroyed,11,6,"Document_ID, Destruction_Authorised_by_Employee_ID, Destroyed_by_Employee_ID, Planned_Destruction_Date, Actual_Destruction_Date, Other_Details"
entertainment_awards,festival_detail,5,6,"Festival_ID, Festival_Name, Chair_Name, Location, Year, Num_of_Audience"
entertainment_awards,artwork,9,3,"Artwork_ID, Type, Name"
entertainment_awards,nomination,6,3,"Artwork_ID, Festival_ID, Result"
department_store,Addresses,15,2,"address_id, address_details"
department_store,Staff,15,3,"staff_id, staff_gender, staff_name"
department_store,Suppliers,4,3,"supplier_id, supplier_name, supplier_phone"
department_store,Department_Store_Chain,4,2,"dept_store_chain_id, dept_store_chain_name"
department_store,Customers,15,7,"customer_id, payment_method_code, customer_code, customer_name, customer_address, customer_phone, customer_email"
department_store,Products,15,4,"product_id, product_type_code, product_name, product_price"
department_store,Supplier_Addresses,4,4,"supplier_id, address_id, date_from, date_to"
department_store,Customer_Addresses,15,4,"customer_id, address_id, date_from, date_to"
department_store,Customer_Orders,15,4,"order_id, customer_id, order_status_code, order_date"
department_store,Department_Stores,15,6,"dept_store_id, dept_store_chain_id, store_name, store_address, store_phone, store_email"
department_store,Departments,5,3,"department_id, dept_store_id, department_name"
department_store,Order_Items,15,3,"order_item_id, order_id, product_id"
department_store,Product_Suppliers,15,6,"product_id, supplier_id, date_supplied_from, date_supplied_to, total_amount_purchased, total_value_purchased"
department_store,Staff_Department_Assignments,15,5,"staff_id, department_id, date_assigned_from, job_title_code, date_assigned_to"
customers_and_products_contacts,Addresses,15,6,"address_id, line_1_number_building, city, zip_postcode, state_province_county, country"
customers_and_products_contacts,Products,15,4,"product_id, product_type_code, product_name, product_price"
customers_and_products_contacts,Customers,15,7,"customer_id, payment_method_code, customer_number, customer_name, customer_address, customer_phone, customer_email"
customers_and_products_contacts,Contacts,15,6,"contact_id, customer_id, gender, first_name, last_name, contact_phone"
customers_and_products_contacts,Customer_Address_History,20,4,"customer_id, address_id, date_from, date_to"
customers_and_products_contacts,Customer_Orders,15,4,"order_id, customer_id, order_date, order_status_code"
customers_and_products_contacts,Order_Items,15,4,"order_item_id, order_id, product_id, order_quantity"
voter_2,Student,34,8,"StuID, LName, Fname, Age, Sex, Major, Advisor, city_code"
voter_2,Voting_record,10,9,"StuID, Registration_Date, Election_Cycle, President_Vote, Vice_President_Vote, Secretary_Vote, Treasurer_Vote, Class_President_Vote, Class_Senator_Vote"
driving_school,Addresses,15,6,"address_id, line_1_number_building, city, zip_postcode, state_province_county, country"
driving_school,Staff,15,9,"staff_id, staff_address_id, nickname, first_name, middle_name, last_name, date_of_birth, date_joined_staff, date_left_staff"
driving_school,Vehicles,3,2,"vehicle_id, vehicle_details"
driving_school,Customers,15,11,"customer_id, customer_address_id, customer_status_code, date_became_customer, date_of_birth, first_name, last_name, amount_outstanding, email_address, phone_number, cell_mobile_phone_number"
driving_school,Customer_Payments,15,4,"customer_id, datetime_payment, payment_method_code, amount_payment"
driving_school,Lessons,15,8,"lesson_id, customer_id, lesson_status_code, staff_id, vehicle_id, lesson_date, lesson_time, price"
school_finance,School,8,8,"School_id, School_name, Location, Mascot, Enrollment, IHSAA_Class, IHSAA_Football_Class, County"
school_finance,budget,8,7,"School_id, Year, Budgeted, total_budget_percent_budgeted, Invested, total_budget_percent_invested, Budget_invested_percent"
school_finance,endowment,11,4,"endowment_id, School_id, donator_name, amount"
roller_coaster,roller_coaster,6,9,"Roller_Coaster_ID, Name, Park, Country_ID, Length, Height, Speed, Opened, Status"
roller_coaster,country,3,5,"Country_ID, Name, Population, Area, Languages"
journal_committee,journal,16,4,"Journal_ID, Date, Theme, Sales"
journal_committee,editor,9,3,"Editor_ID, Name, Age"
journal_committee,journal_committee,7,3,"Editor_ID, Journal_ID, Work_Type"
flight_4,routes,67240,8,"rid, dst_apid, dst_ap, src_apid, src_ap, alid, airline, codeshare"
flight_4,airports,7184,9,"apid, name, city, country, x, y, elevation, iata, icao"
flight_4,airlines,6162,7,"alid, name, iata, icao, callsign, country, active"
club_1,Student,34,8,"StuID, LName, Fname, Age, Sex, Major, Advisor, city_code"
club_1,Club,4,4,"ClubID, ClubName, ClubDesc, ClubLocation"
club_1,Member_of_club,4,3,"StuID, ClubID, Position"
epinions_1,item,8,2,"i_id, title"
epinions_1,review,7,5,"a_id, u_id, i_id, rating, rank"
epinions_1,useracct,7,2,"u_id, name"
epinions_1,trust,9,3,"source_u_id, target_u_id, trust"
decoration_competition,college,5,4,"College_ID, Name, Leader_Name, College_Location"
decoration_competition,member,10,4,"Member_ID, Name, Country, College_ID"
decoration_competition,round,6,4,"Round_ID, Member_ID, Decoration_Theme, Rank_in_Round"
architecture,architect,5,4,"id, name, nationality, gender"
architecture,bridge,15,6,"architect_id, id, name, location, length_meters, length_feet"
architecture,mill,6,7,"architect_id, id, location, name, type, built_year, notes"
train_station,station,12,8,"Station_ID, Name, Annual_entry_exit, Annual_interchanges, Total_Passengers, Location, Main_Services, Number_of_Platforms"
train_station,train,11,4,"Train_ID, Name, Time, Service"
train_station,train_station,11,2,"Train_ID, Station_ID"
allergy_1,Allergy_Type,14,2,"Allergy, AllergyType"
allergy_1,Has_Allergy,59,2,"StuID, Allergy"
allergy_1,Student,34,8,"StuID, LName, Fname, Age, Sex, Major, Advisor, city_code"
soccer_1,Player_Attributes,183978,42,"id, player_fifa_api_id, player_api_id, date, overall_rating, potential, preferred_foot, attacking_work_rate, defensive_work_rate, crossing, finishing, heading_accuracy, short_passing, volleys, dribbling, curve, free_kick_accuracy, long_passing, ball_control, acceleration, sprint_speed, agility, reactions, balance, shot_power, jumping, stamina, strength, long_shots, aggression, interceptions, positioning, vision, penalties, marking, standing_tackle, sliding_tackle, gk_diving, gk_handling, gk_kicking, gk_positioning, gk_reflexes"
soccer_1,sqlite_sequence,6,2,"name, seq"
soccer_1,Player,11060,7,"id, player_api_id, player_name, player_fifa_api_id, birthday, height, weight"
soccer_1,League,11,3,"id, country_id, name"
soccer_1,Country,11,2,"id, name"
soccer_1,Team,299,5,"id, team_api_id, team_fifa_api_id, team_long_name, team_short_name"
soccer_1,Team_Attributes,1458,25,"id, team_fifa_api_id, team_api_id, date, buildUpPlaySpeed, buildUpPlaySpeedClass, buildUpPlayDribbling, buildUpPlayDribblingClass, buildUpPlayPassing, buildUpPlayPassingClass, buildUpPlayPositioningClass, chanceCreationPassing, chanceCreationPassingClass, chanceCreationCrossing, chanceCreationCrossingClass, chanceCreationShooting, chanceCreationShootingClass, chanceCreationPositioningClass, defencePressure, defencePressureClass, defenceAggression, defenceAggressionClass, defenceTeamWidth, defenceTeamWidthClass, defenceDefenderLineClass"
election_representative,election,5,7,"Election_ID, Representative_ID, Date, Votes, Vote_Percent, Seats, Place"
election_representative,representative,7,5,"Representative_ID, Name, State, Party, Lifespan"
city_record,city,13,6,"City_ID, City, Hanzi, Hanyu_Pinyin, Regional_Population, GDP"
city_record,match,6,6,"Match_ID, Date, Venue, Score, Result, Competition"
city_record,temperature,8,12,"City_ID, Jan, Feb, Mar, Apr, Jun, Jul, Aug, Sep, Oct, Nov, Dec"
city_record,hosting_city,6,3,"Year, Match_ID, Host_City"
customers_campaigns_ecommerce,Premises,15,3,"premise_id, premises_type, premise_details"
customers_campaigns_ecommerce,Products,15,3,"product_id, product_category, product_name"
customers_campaigns_ecommerce,Customers,15,8,"customer_id, payment_method, customer_name, customer_phone, customer_email, customer_address, customer_login, customer_password"
customers_campaigns_ecommerce,Mailshot_Campaigns,20,5,"mailshot_id, product_category, mailshot_name, mailshot_start_date, mailshot_end_date"
customers_campaigns_ecommerce,Customer_Addresses,15,5,"customer_id, premise_id, date_address_from, address_type_code, date_address_to"
customers_campaigns_ecommerce,Customer_Orders,15,7,"order_id, customer_id, order_status_code, shipping_method_code, order_placed_datetime, order_delivered_datetime, order_shipping_charges"
customers_campaigns_ecommerce,Mailshot_Customers,15,4,"mailshot_id, customer_id, outcome_code, mailshot_customer_date"
customers_campaigns_ecommerce,Order_Items,15,7,"item_id, order_item_status_code, order_id, product_id, item_status_code, item_delivered_datetime, item_order_quantity"
flight_2,airlines,12,4,"uid, Airline, Abbreviation, Country"
flight_2,airports,100,5,"City, AirportCode, AirportName, Country, CountryAbbrev"
flight_2,flights,1200,4,"Airline, FlightNo, SourceAirport, DestAirport"
poker_player,poker_player,5,6,"Poker_Player_ID, People_ID, Final_Table_Made, Best_Finish, Money_Rank, Earnings"
poker_player,people,7,5,"People_ID, Nationality, Name, Birth_Date, Height"
customer_complaints,Staff,7,6,"staff_id, gender, first_name, last_name, email_address, phone_number"
customer_complaints,Customers,8,8,"customer_id, customer_type_code, address_line_1, address_line_2, town_city, state, email_address, phone_number"
customer_complaints,Products,4,8,"product_id, parent_product_id, product_category_code, date_product_first_available, date_product_discontinued, product_name, product_description, product_price"
customer_complaints,Complaints,12,9,"complaint_id, product_id, customer_id, complaint_outcome_code, complaint_status_code, complaint_type_code, date_complaint_raised, date_complaint_closed, staff_id"
company_1,works_on,16,3,"Essn, Pno, Hours"
company_1,employee,8,10,"Fname, Minit, Lname, Ssn, Bdate, Address, Sex, Salary, Super_ssn, Dno"
company_1,department,3,4,"Dname, Dnumber, Mgr_ssn, Mgr_start_date"
company_1,project,6,4,"Pname, Pnumber, Plocation, Dnum"
company_1,dependent,7,5,"Essn, Dependent_name, Sex, Bdate, Relationship"
company_1,dept_locations,5,2,"Dnumber, Dlocation"
concert_singer,stadium,9,7,"Stadium_ID, Location, Name, Capacity, Highest, Lowest, Average"
concert_singer,singer,6,7,"Singer_ID, Name, Country, Song_Name, Song_release_year, Age, Is_male"
concert_singer,concert,6,5,"concert_ID, concert_Name, Theme, Stadium_ID, Year"
concert_singer,singer_in_concert,10,2,"concert_ID, Singer_ID"
cre_Docs_and_Epenses,Ref_Document_Types,5,3,"Document_Type_Code, Document_Type_Name, Document_Type_Description"
cre_Docs_and_Epenses,Ref_Budget_Codes,3,2,"Budget_Type_Code, Budget_Type_Description"
cre_Docs_and_Epenses,Projects,5,2,"Project_ID, Project_Details"
cre_Docs_and_Epenses,Documents,15,7,"Document_ID, Document_Type_Code, Project_ID, Document_Date, Document_Name, Document_Description, Other_Details"
cre_Docs_and_Epenses,Statements,2,2,"Statement_ID, Statement_Details"
cre_Docs_and_Epenses,Documents_with_Expenses,10,3,"Document_ID, Budget_Type_Code, Document_Details"
cre_Docs_and_Epenses,Accounts,15,3,"Account_ID, Statement_ID, Account_Details"
insurance_and_eClaims,Customers,15,2,"Customer_ID, Customer_Details"
insurance_and_eClaims,Staff,15,2,"Staff_ID, Staff_Details"
insurance_and_eClaims,Policies,15,5,"Policy_ID, Customer_ID, Policy_Type_Code, Start_Date, End_Date"
insurance_and_eClaims,Claim_Headers,15,8,"Claim_Header_ID, Claim_Status_Code, Claim_Type_Code, Policy_ID, Date_of_Claim, Date_of_Settlement, Amount_Claimed, Amount_Piad"
insurance_and_eClaims,Claims_Documents,14,4,"Claim_ID, Document_Type_Code, Created_by_Staff_ID, Created_Date"
insurance_and_eClaims,Claims_Processing_Stages,2,4,"Claim_Stage_ID, Next_Claim_Stage_ID, Claim_Status_Name, Claim_Status_Description"
insurance_and_eClaims,Claims_Processing,15,5,"Claim_Processing_ID, Claim_ID, Claim_Outcome_Code, Claim_Stage_ID, Staff_ID"
insurance_policies,Customers,15,2,"Customer_ID, Customer_Details"
insurance_policies,Customer_Policies,15,5,"Policy_ID, Customer_ID, Policy_Type_Code, Start_Date, End_Date"
insurance_policies,Claims,15,6,"Claim_ID, Policy_ID, Date_Claim_Made, Date_Claim_Settled, Amount_Claimed, Amount_Settled"
insurance_policies,Settlements,15,7,"Settlement_ID, Claim_ID, Date_Claim_Made, Date_Claim_Settled, Amount_Claimed, Amount_Settled, Customer_Policy_ID"
insurance_policies,Payments,15,5,"Payment_ID, Settlement_ID, Payment_Method_Code, Date_Payment_Made, Amount_Payment"
county_public_safety,county_public_safety,6,9,"County_ID, Name, Population, Police_officers, Residents_per_officer, Case_burden, Crime_rate, Police_force, Location"
county_public_safety,city,17,9,"City_ID, County_ID, Name, White, Black, Amerindian, Asian, Multiracial, Hispanic"
baseball_1,all_star,5069,8,"player_id, year, game_num, game_id, team_id, league_id, gp, starting_pos"
baseball_1,appearances,100951,21,"year, team_id, league_id, player_id, g_all, gs, g_batting, g_defense, g_p, g_c, g_1b, g_2b, g_3b, g_ss, g_lf, g_cf, g_rf, g_of, g_dh, g_ph, g_pr"
baseball_1,manager_award,177,6,"player_id, award_id, year, league_id, tie, notes"
baseball_1,player_award,6078,6,"player_id, award_id, year, league_id, tie, notes"
baseball_1,manager_award_vote,414,7,"award_id, year, league_id, player_id, points_won, points_max, votes_first"
baseball_1,player_award_vote,6795,7,"award_id, year, league_id, player_id, points_won, points_max, votes_first"
baseball_1,batting,101332,22,"player_id, year, stint, team_id, league_id, g, ab, r, h, double, triple, hr, rbi, sb, cs, bb, so, ibb, hbp, sh, sf, g_idp"
baseball_1,batting_postseason,11690,22,"year, round, player_id, team_id, league_id, g, ab, r, h, double, triple, hr, rbi, sb, cs, bb, so, ibb, hbp, sh, sf, g_idp"
baseball_1,player_college,17350,3,"player_id, college_id, year"
baseball_1,fielding,170526,18,"player_id, year, stint, team_id, league_id, pos, g, gs, inn_outs, po, a, e, dp, pb, wp, sb, cs, zr"
baseball_1,fielding_outfield,12028,6,"player_id, year, stint, glf, gcf, grf"
baseball_1,fielding_postseason,12311,17,"player_id, year, team_id, league_id, round, pos, g, gs, inn_outs, po, a, e, dp, tp, pb, sb, cs"
baseball_1,hall_of_fame,4120,9,"player_id, yearid, votedby, ballots, needed, votes, inducted, category, needed_note"
baseball_1,home_game,2944,9,"year, league_id, team_id, park_id, span_first, span_last, games, openings, attendance"
baseball_1,manager,3405,10,"player_id, year, team_id, league_id, inseason, g, w, l, rank, plyr_mgr"
baseball_1,manager_half,93,10,"player_id, year, team_id, league_id, inseason, half, g, w, l, rank"
baseball_1,player,18846,24,"player_id, birth_year, birth_month, birth_day, birth_country, birth_state, birth_city, death_year, death_month, death_day, death_country, death_state, death_city, name_first, name_last, name_given, weight, height, bats, throws, debut, final_game, retro_id, bbref_id"
baseball_1,park,250,6,"park_id, park_name, park_alias, city, state, country"
baseball_1,pitching,44139,30,"player_id, year, stint, team_id, league_id, w, l, g, gs, cg, sho, sv, ipouts, h, er, hr, bb, so, baopp, era, ibb, wp, hbp, bk, bfp, gf, r, sh, sf, g_idp"
baseball_1,pitching_postseason,5109,30,"player_id, year, round, team_id, league_id, w, l, g, gs, cg, sho, sv, ipouts, h, er, hr, bb, so, baopp, era, ibb, wp, hbp, bk, bfp, gf, r, sh, sf, g_idp"
baseball_1,salary,25575,5,"year, team_id, league_id, player_id, salary"
baseball_1,college,1207,5,"college_id, name_full, city, state, country"
baseball_1,postseason,307,9,"year, round, team_id_winner, league_id_winner, team_id_loser, league_id_loser, wins, losses, ties"
baseball_1,team,2805,48,"year, league_id, team_id, franchise_id, div_id, rank, g, ghome, w, l, div_win, wc_win, lg_win, ws_win, r, ab, h, double, triple, hr, bb, so, sb, cs, hbp, sf, ra, er, era, cg, sho, sv, ipouts, ha, hra, bba, soa, e, dp, fp, name, park, attendance, bpf, ppf, team_id_br, team_id_lahman45, team_id_retro"
baseball_1,team_franchise,120,4,"franchise_id, franchise_name, active, na_assoc"
baseball_1,team_half,52,10,"year, league_id, team_id, half, div_id, div_win, rank, g, w, l"
imdb,actor,0,6,"aid, gender, name, nationality, birth_city, birth_year"
imdb,copyright,0,3,"id, msid, cid"
imdb,cast,0,4,"id, msid, aid, role"
imdb,genre,0,2,"gid, genre"
imdb,classification,0,3,"id, msid, gid"
imdb,company,0,3,"id, name, country_code"
imdb,director,0,6,"did, gender, name, nationality, birth_city, birth_year"
imdb,producer,0,6,"pid, gender, name, nationality, birth_city, birth_year"
imdb,directed_by,0,3,"id, msid, did"
imdb,keyword,0,2,"id, keyword"
imdb,made_by,0,3,"id, msid, pid"
imdb,movie,0,5,"mid, title, release_year, title_aka, budget"
imdb,tags,0,3,"id, msid, kid"
imdb,tv_series,0,7,"sid, title, release_year, num_of_seasons, num_of_episodes, title_aka, budget"
imdb,writer,0,7,"wid, gender, name, nationality, num_of_episodes, birth_city, birth_year"
imdb,written_by,0,3,"id, msid, wid"
music_2,Songs,0,2,"SongId, Title"
music_2,Albums,0,5,"AId, Title, Year, Label, Type"
music_2,Band,0,3,"Id, Firstname, Lastname"
music_2,Instruments,0,3,"SongId, BandmateId, Instrument"
music_2,Performance,0,3,"SongId, Bandmate, StagePosition"
music_2,Tracklists,0,3,"AlbumId, Position, SongId"
music_2,Vocals,0,3,"SongId, Bandmate, Type"
network_1,Highschooler,16,3,"ID, name, grade"
network_1,Friend,20,2,"student_id, friend_id"
network_1,Likes,10,2,"student_id, liked_id"
climbing,mountain,7,6,"Mountain_ID, Name, Height, Prominence, Range, Country"
climbing,climber,10,6,"Climber_ID, Name, Country, Time, Points, Mountain_ID"
swimming,swimmer,8,11,"ID, name, Nationality, meter_100, meter_200, meter_300, meter_400, meter_500, meter_600, meter_700, Time"
swimming,stadium,10,6,"ID, name, Capacity, City, Country, Opening_year"
swimming,event,6,4,"ID, Name, Stadium_ID, Year"
swimming,record,13,4,"ID, Result, Swimmer_ID, Event_ID"
customers_and_addresses,Addresses,15,7,"address_id, address_content, city, zip_postcode, state_province_county, country, other_address_details"
customers_and_addresses,Products,3,2,"product_id, product_details"
customers_and_addresses,Customers,15,5,"customer_id, payment_method, customer_name, date_became_customer, other_customer_details"
customers_and_addresses,Customer_Addresses,15,5,"customer_id, address_id, date_address_from, address_type, date_address_to"
customers_and_addresses,Customer_Contact_Channels,20,5,"customer_id, channel_code, active_from_date, active_to_date, contact_number"
customers_and_addresses,Customer_Orders,15,5,"order_id, customer_id, order_status, order_date, order_details"
customers_and_addresses,Order_Items,15,3,"order_id, product_id, order_quantity"
tracking_share_transactions,Investors,20,2,"investor_id, Investor_details"
tracking_share_transactions,Lots,15,3,"lot_id, investor_id, lot_details"
tracking_share_transactions,Ref_Transaction_Types,2,2,"transaction_type_code, transaction_type_description"
tracking_share_transactions,Transactions,15,7,"transaction_id, investor_id, transaction_type_code, date_of_transaction, amount_of_transaction, share_count, other_details"
tracking_share_transactions,Sales,15,2,"sales_transaction_id, sales_details"
tracking_share_transactions,Purchases,15,2,"purchase_transaction_id, purchase_details"
tracking_share_transactions,Transactions_Lots,15,2,"transaction_id, lot_id"
game_1,Student,34,8,"StuID, LName, Fname, Age, Sex, Major, Advisor, city_code"
game_1,Video_Games,6,3,"GameID, GName, GType"
game_1,Plays_Games,10,3,"StuID, GameID, Hours_Played"
game_1,SportsInfo,14,5,"StuID, SportName, HoursPerWeek, GamesPlayed, OnScholarship"
cre_Drama_Workshop_Groups,Ref_Payment_Methods,3,2,"payment_method_code, payment_method_description"
cre_Drama_Workshop_Groups,Ref_Service_Types,4,3,"Service_Type_Code, Parent_Service_Type_Code, Service_Type_Description"
cre_Drama_Workshop_Groups,Addresses,20,6,"Address_ID, Line_1, Line_2, City_Town, State_County, Other_Details"
cre_Drama_Workshop_Groups,Products,15,5,"Product_ID, Product_Name, Product_Price, Product_Description, Other_Product_Service_Details"
cre_Drama_Workshop_Groups,Marketing_Regions,8,4,"Marketing_Region_Code, Marketing_Region_Name, Marketing_Region_Descriptrion, Other_Details"
cre_Drama_Workshop_Groups,Clients,20,6,"Client_ID, Address_ID, Customer_Email_Address, Customer_Name, Customer_Phone, Other_Details"
cre_Drama_Workshop_Groups,Drama_Workshop_Groups,15,8,"Workshop_Group_ID, Address_ID, Currency_Code, Marketing_Region_Code, Store_Name, Store_Phone, Store_Email_Address, Other_Details"
cre_Drama_Workshop_Groups,Performers,20,6,"Performer_ID, Address_ID, Customer_Name, Customer_Phone, Customer_Email_Address, Other_Details"
cre_Drama_Workshop_Groups,Customers,15,6,"Customer_ID, Address_ID, Customer_Name, Customer_Phone, Customer_Email_Address, Other_Details"
cre_Drama_Workshop_Groups,Stores,10,7,"Store_ID, Address_ID, Marketing_Region_Code, Store_Name, Store_Phone, Store_Email_Address, Other_Details"
cre_Drama_Workshop_Groups,Bookings,15,9,"Booking_ID, Customer_ID, Workshop_Group_ID, Status_Code, Store_ID, Order_Date, Planned_Delivery_Date, Actual_Delivery_Date, Other_Order_Details"
cre_Drama_Workshop_Groups,Performers_in_Bookings,18,2,"Order_ID, Performer_ID"
cre_Drama_Workshop_Groups,Customer_Orders,15,7,"Order_ID, Customer_ID, Store_ID, Order_Date, Planned_Delivery_Date, Actual_Delivery_Date, Other_Order_Details"
cre_Drama_Workshop_Groups,Order_Items,15,5,"Order_Item_ID, Order_ID, Product_ID, Order_Quantity, Other_Item_Details"
cre_Drama_Workshop_Groups,Invoices,15,7,"Invoice_ID, Order_ID, payment_method_code, Product_ID, Order_Quantity, Other_Item_Details, Order_Item_ID"
cre_Drama_Workshop_Groups,Services,15,7,"Service_ID, Service_Type_Code, Workshop_Group_ID, Product_Description, Product_Name, Product_Price, Other_Product_Service_Details"
cre_Drama_Workshop_Groups,Bookings_Services,12,2,"Order_ID, Product_ID"
cre_Drama_Workshop_Groups,Invoice_Items,2,7,"Invoice_Item_ID, Invoice_ID, Order_ID, Order_Item_ID, Product_ID, Order_Quantity, Other_Item_Details"
election,county,5,4,"County_Id, County_name, Population, Zip_code"
election,party,7,8,"Party_ID, Year, Party, Governor, Lieutenant_Governor, Comptroller, Attorney_General, US_Senate"
election,election,8,7,"Election_ID, Counties_Represented, District, Delegate, Party, First_Elected, Committee"
book_2,publication,7,5,"Publication_ID, Book_ID, Publisher, Publication_Date, Price"
book_2,book,10,4,"Book_ID, Title, Issues, Writer"
music_4,artist,7,5,"Artist_ID, Artist, Age, Famous_Title, Famous_Release_date"
music_4,volume,10,6,"Volume_ID, Volume_Issue, Issue_Date, Weeks_on_Top, Song, Artist_ID"
music_4,music_festival,9,6,"ID, Music_Festival, Date_of_ceremony, Category, Volume, Result"
small_bank_1,ACCOUNTS,7,2,"custid, name"
small_bank_1,SAVINGS,6,2,"custid, balance"
small_bank_1,CHECKING,7,2,"custid, balance"
local_govt_in_alabama,Services,4,2,"Service_ID, Service_Type_Code"
local_govt_in_alabama,Participants,15,3,"Participant_ID, Participant_Type_Code, Participant_Details"
